Company_Name;period;y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;d1;d2;d3;d4;d5;d6;year;yearfory;periodfory;t;u
A P T SATELLITE HOLDINGS LTD;1;0;1.811451204;0.054571125;2.109434636;0.131083075;0.11511422;0.391759843;0.262937334;0.023960536;0.039393215;4.543515766;1;0;0;0;0;0;1996;1999;4;0;3
A P T SATELLITE HOLDINGS LTD;2;0;0.275873273;-0.086950396;-1.680726944;0.151146732;0.146139873;0.420421737;0.24752414;0.036245047;0.062536933;3.180522186;0;1;0;0;0;0;1997;2000;5;1;4
A P T SATELLITE HOLDINGS LTD;3;0;0.547795709;-0.064388053;-2.687858818;0.187706959;0.173065997;0.372500565;0.146224775;0.017435294;0.027785354;1.306486146;0;0;1;0;0;0;1998;2001;6;2;5
A P T SATELLITE HOLDINGS LTD;4;0;3.639261792;0.441125633;0.330184822;0.371815493;0.145652989;0.28715102;0.048173329;0.113188589;0.158783406;1.980493793;0;0;0;1;0;0;1999;2002;7;3;6
A P T SATELLITE HOLDINGS LTD;5;0;4.887014446;0.444435832;0.224598052;0.226232186;0.099819422;0.302335655;0.137237321;0.041797388;0.059910454;1.118761406;0;0;0;0;1;0;2000;2003;8;4;7
A P T SATELLITE HOLDINGS LTD;6;0;6.313577708;0.442404508;0.257790505;0.240436365;0.114047681;0.248746167;0.114179132;0.02377885;0.031652218;1.631752505;0;0;0;0;0;1;2001;2004;9;5;8
A R M HOLDINGS PLC;1;0;4.257450045;0.647528983;1.059260602;4.462979384;0.68590194;0.199594021;0;0.107731194;0.134595689;46.36292296;1;0;0;0;0;0;1998;2001;4;0;3
A R M HOLDINGS PLC;2;0;4.42858798;0.661146497;1.128114121;5.107851682;0.7458487;0.194204193;0;0.19488956;0.241859734;465.7073734;0;1;0;0;0;0;1999;2002;5;1;4
A R M HOLDINGS PLC;3;0;3.823322459;0.57788699;1.368809291;3.638036046;0.791017081;0.207085415;0;0.247668857;0.312352505;188.8496947;0;0;1;0;0;0;2000;2003;6;2;5
A R M HOLDINGS PLC;4;0;3.465766823;0.552021236;1.507159448;3.712479094;0.831984021;0.227337583;0;0.1933982;0.250301031;90.05151786;0;0;0;1;0;0;2001;2004;7;3;6
A R M HOLDINGS PLC;5;0;5.046704085;0.637913905;1.149908636;3.587914702;0.733542709;0.161726737;0;0.153769497;0.183436003;16.61076666;0;0;0;0;1;0;2002;2005;8;4;7
A R M HOLDINGS PLC;6;0;5.353662442;0.681798874;0.842347791;3.553962199;0.574311775;0.156603522;0;0.058368165;0.069206081;37.56395957;0;0;0;0;0;1;2003;2006;9;5;8
A S M LITHOGRAPHY HOLDING N V;1;0;1.745929619;0.37909532;3.673073834;12.35685292;1.3924451;0.539336477;0.051768347;0.199390294;0.432832825;4.949791596;1;0;0;0;0;0;1995;1998;4;0;3
A S M LITHOGRAPHY HOLDING N V;2;0;2.191845663;0.467142113;2.65549337;8.803478358;1.240492785;0.399764099;0;0.202843677;0.337939927;6.917442195;0;1;0;0;0;0;1996;1999;5;1;4
A S M LITHOGRAPHY HOLDING N V;3;0;2.665432277;0.554458902;2.221815816;10.93868315;1.231905559;0.340882929;0;0.224849112;0.341136836;18.92677179;0;0;1;0;0;0;1997;2000;6;2;5
A S M LITHOGRAPHY HOLDING N V;4;0;4.859198485;0.667621109;1.244505385;5.212928362;0.830858066;0.466623197;0.35245959;0.066110707;0.123947473;8.261965824;0;0;0;1;0;0;1998;2001;7;3;6
A S M LITHOGRAPHY HOLDING N V;5;0;4.859973529;0.682331644;1.030234294;4.989176662;0.702961459;0.64117819;0.563481001;0.047402721;0.132106578;14.40504621;0;0;0;0;1;0;1999;2002;8;4;7
A S M LITHOGRAPHY HOLDING N V;6;0;4.344598167;0.672343871;1.343827125;7.134939583;0.903513932;0.594998836;0.458252936;0.143558862;0.354465307;7.073264645;0;0;0;0;0;1;2000;2003;9;5;8
A S V INC;1;0;18.89451473;0.86816786;1.133223299;11.80835364;0.983828046;0.056499487;0.008390706;0.030296827;0.032111087;38.59239131;1;0;0;0;0;0;1994;1997;4;0;3
A S V INC;2;0;8.450680273;0.692976906;1.881990409;6.093865465;1.30417589;0.196773174;0.114405302;0.069598228;0.086648287;16.27572348;0;1;0;0;0;0;1995;1998;5;1;4
A S V INC;3;0;8.370266478;0.783743475;1.167078971;8.321573891;0.914690528;0.531170769;0.475383846;0.068754661;0.146651821;12.55020706;0;0;1;0;0;0;1996;1999;6;2;5
A S V INC;4;0;6.964237829;0.694353371;1.822515364;6.687568794;1.265469686;0.481811085;0.413535163;0.120947177;0.233403635;15.69971917;0;0;0;1;0;0;1997;2000;7;3;6
A S V INC;5;0;3.305838742;0.589713202;2.240411113;8.549298827;1.321200012;0.339213761;0.112147407;0.113974198;0.172482706;15.34844783;0;0;0;0;1;0;1998;2001;8;4;7
A S V INC;6;0;5.96085361;0.750195272;0.990985561;7.541284394;0.743432682;0.196382323;0.053205144;0.029023638;0.036116227;13.81324576;0;0;0;0;0;1;1999;2002;9;5;8
A V X CORP NEW;1;0;2.761336513;0.412591813;3.374293861;3.942151825;1.392206022;0.280704908;0.013449654;0.158770558;0.220730769;9.576372813;1;0;0;0;0;0;1995;1998;4;0;3
A V X CORP NEW;2;0;3.512002465;0.481058287;2.466054411;3.623026696;1.186315911;0.22894385;0.016354471;0.12782061;0.165773414;8.705334555;0;1;0;0;0;0;1996;1999;5;1;4
A V X CORP NEW;3;0;4.262723926;0.527140055;2.293203349;3.883253023;1.20883934;0.188593368;0.009747923;0.128403771;0.158248363;8.220946687;0;0;1;0;0;0;1997;2000;6;2;5
A V X CORP NEW;4;0;3.450843039;0.445401877;2.642896701;3.15705253;1.17715115;0.214924765;0.015075502;0.039238592;0.049980678;6.424584375;0;0;0;1;0;0;1998;2001;7;3;6
